ID_CLIENT,PAYMENT_DAY,APPLICATION_SUBMISSION_TYPE,QUANT_ADDITIONAL_CARDS,SEX,MARITAL_STATUS,QUANT_DEPENDANTS,STATE_OF_BIRTH,CITY_OF_BIRTH,NATIONALITY,RESIDENTIAL_STATE,RESIDENTIAL_CITY,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,PERSONAL_MONTHLY_INCOME,OTHER_INCOMES,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,QUANT_BANKING_ACCOUNTS,QUANT_SPECIAL_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,COMPANY,PROFESSIONAL_STATE,MONTHS_IN_THE_JOB,OCCUPATION_TYPE,FLAG_HOME_ADDRESS_DOCUMENT,FLAG_RG,FLAG_CPF,FLAG_INCOME_PROOF,PRODUCT,FLAG_ACSP_RECORD,AGE,TARGET_LABEL_BAD=1
1,5,2,0,1,6,1,20,505,1,19,2246,1.0,15.0,900.0,0,1,1,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1,0,32,1
2,15,1,0,1,2,0,19,8031,1,18,1860,1.0,1.0,750.0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,34,1
5,10,2,0,2,2,0,19,4921,1,18,1908,1.0,12.0,1200.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,1,0,48,1
6,10,0,0,2,2,0,11,1279,1,10,35,1.0,4.0,500.0,0,0,0,0,0,1,1,0,1,1,11,0,2.0,0,0,0,0,2,0,40,1
7,15,1,0,1,2,2,5,8083,1,4,1932,1.0,1.0,320.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1,0,40,1
8,25,2,0,1,1,0,11,414,1,25,1122,1.0,4.0,489.0,0,0,0,0,0,0,0,0,0,1,26,0,2.0,0,0,0,0,1,0,28,0
9,15,0,0,1,1,0,26,3239,1,25,1304,1.0,0.0,450.0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,0,0,0,0,2,0,31,0
10,5,0,0,1,1,0,23,5265,1,22,1717,1.0,5.0,1507.0,0,1,1,0,0,1,1,0,1,1,23,0,2.0,0,0,0,0,1,0,41,0
11,25,2,0,1,2,0,6,4777,1,5,802,1.0,10.0,200.0,0,0,1,0,0,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,36,0
12,15,2,0,1,1,1,11,309,1,10,105,1.0,6.0,403.0,0,0,0,0,0,0,0,0,0,1,11,0,2.0,0,0,0,0,2,0,29,0
14,25,0,0,1,2,2,16,1155,1,25,923,1.0,12.0,607.0,0,0,0,0,0,0,0,0,1,1,26,0,2.0,0,0,0,0,1,0,36,0
16,20,2,0,1,2,1,6,2600,1,5,649,1.0,18.0,550.0,0,0,1,0,0,0,0,0,0,1,6,0,4.0,0,0,0,0,1,0,49,0
17,25,2,0,1,1,0,23,1721,1,22,1104,2.0,0.0,594.8,0,0,0,0,0,0,0,0,0,1,23,0,2.0,0,0,0,0,1,0,27,0
18,10,0,0,1,1,0,19,4921,1,18,1366,1.0,25.0,457.0,134,0,0,0,0,0,0,50000,1,1,19,0,2.0,0,0,0,0,1,0,32,0
19,1,2,0,2,2,2,6,2084,1,5,831,1.0,10.0,1992.9,0,0,0,0,0,0,0,0,0,1,6,0,2.0,0,0,0,0,1,0,58,0
20,15,2,0,2,1,3,14,1394,1,3,1431,2.0,1.0,600.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1,0,31,0
21,1,2,0,2,2,1,23,3635,1,11,1327,1.0,2.0,2233.54,0,0,0,0,0,0,0,0,0,1,12,0,2.0,0,0,0,0,1,0,40,0
23,1,2,0,2,2,2,15,4630,1,6,534,5.0,4.0,966.3,0,1,0,0,0,0,0,0,0,1,0,0,5.0,0,0,0,0,1,0,39,0
25,10,0,0,1,5,0,15,3046,1,14,1191,1.0,3.0,865.0,0,0,0,0,0,1,1,0,1,1,15,0,5.0,0,0,0,0,1,0,47,0
26,10,2,0,1,2,0,6,7539,1,5,2734,1.0,1.0,350.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,2,0,42,0
27,25,0,0,1,2,1,26,3239,1,25,1264,1.0,2.0,350.0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0,0,0,0,2,0,30,0
28,10,0,0,1,1,0,10,889,1,9,2269,1.0,5.0,350.0,0,0,0,0,0,1,1,0,1,0,0,0,5.0,0,0,0,0,1,0,26,1
30,15,0,0,2,2,0,0,0,0,5,522,2.0,0.0,350.0,0,0,0,0,0,1,1,0,1,1,6,0,2.0,0,0,0,0,1,0,58,0
31,10,2,0,2,2,0,10,6337,1,5,802,1.0,10.0,278.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,60,0
32,25,0,0,1,1,1,5,5917,1,25,2103,1.0,2.0,387.0,0,0,0,0,0,1,1,0,1,1,26,0,2.0,0,0,0,0,1,0,45,1
33,15,2,0,1,3,1,5,1253,1,4,2329,1.0,1.0,246.98,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,48,0
34,10,0,0,2,7,1,23,4319,1,22,637,1.0,3.0,1262.0,0,0,1,0,0,0,0,80,1,0,0,0,1.0,0,0,0,0,1,0,56,0
35,5,2,0,1,2,0,6,2084,1,5,802,1.0,14.0,1100.0,0,1,0,0,0,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,49,1
36,5,2,0,1,4,1,14,6560,1,13,266,1.0,16.0,360.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,71,0
39,10,2,0,2,2,1,20,3840,1,19,1520,1.0,7.0,261.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,60,0
41,10,0,0,1,2,0,19,6651,1,25,923,1.0,5.0,628.0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0,0,0,0,1,0,41,0
43,10,0,0,1,4,1,1,8460,1,17,604,1.0,1.0,1101.0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,1,0,53,0
44,10,0,0,1,4,0,16,1323,1,15,1558,1.0,10.0,2141.0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,0,0,0,0,1,0,79,0
45,5,2,0,2,1,0,11,5680,1,10,2129,1.0,20.0,542.0,0,0,0,0,0,0,0,0,0,1,11,0,2.0,0,0,0,0,2,0,31,0
46,10,2,0,2,1,0,13,4577,1,12,2315,1.0,1.0,700.0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,0,0,0,0,1,0,22,0
47,25,1,0,1,1,0,5,3448,1,4,1331,1.0,1.0,591.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,1,0,37,0
48,15,0,0,1,1,1,5,3201,1,4,2652,1.0,25.0,3000.0,0,1,0,0,0,1,1,150000,1,0,0,0,4.0,0,0,0,0,7,0,55,0
50,15,1,0,1,1,1,14,8118,1,13,1991,1.0,1.0,450.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,38,0
51,20,0,0,2,2,2,2,3358,1,1,1307,1.0,9.0,608.0,0,0,1,0,0,1,1,0,0,1,2,0,5.0,0,0,0,0,1,0,37,1
52,5,2,0,1,1,0,4,3345,1,3,1301,1.0,6.0,1458.0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,0,0,0,0,1,0,28,0
53,10,2,0,1,1,0,5,7420,1,12,2631,1.0,15.0,351.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1,0,67,0
54,10,2,0,2,2,0,11,7026,1,7,703,1.0,0.0,880.0,0,0,0,0,0,0,0,0,0,1,8,0,2.0,0,0,0,0,1,0,21,0
55,10,2,0,2,1,0,6,2084,1,5,1810,1.0,10.0,441.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,30,0
56,15,2,0,2,2,0,23,531,1,22,1792,1.0,8.0,536.0,0,0,0,0,0,0,0,0,0,1,23,0,2.0,0,0,0,0,1,0,50,1
57,20,2,0,2,6,0,14,3434,1,13,2377,1.0,3.0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1,0,21,0
58,5,0,0,2,2,0,23,1164,1,22,1776,1.0,4.0,1319.0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,0,0,0,0,1,0,61,0
59,10,2,0,2,2,0,6,575,1,5,227,1.0,5.0,637.56,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,51,0
60,15,2,0,2,6,3,26,1107,1,25,793,2.0,3.0,900.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,2,0,36,0
61,15,2,0,1,2,2,9,4970,1,8,1875,1.0,17.0,399.0,0,0,0,0,0,0,0,0,0,1,9,0,2.0,0,0,0,0,1,0,50,0
62,15,2,0,1,2,1,15,6985,1,14,1287,1.0,3.0,455.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1,0,25,0
63,25,0,0,1,1,0,16,3260,1,15,502,1.0,5.0,422.0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,0,0,0,0,1,0,84,1
64,10,0,0,1,2,1,5,2019,1,4,778,1.0,30.0,1377.0,611,0,0,0,0,0,0,50000,1,1,5,0,2.0,0,0,0,0,7,0,55,0
66,25,2,0,1,2,4,27,4167,1,8,855,1.0,1.0,900.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1,0,49,0
